quote,author,tags
“tis better to have loved and lostthan never to have loved at all.”,"Alfred Lord Tennyson,",['general']
“knowing yourself is the beginning of all wisdom.”,Aristotle,['general']
"“it's so hard to forget pain, but it's even harder to remember sweetness. we have no scar to show for happiness. we learn so little from peace.”","Chuck Palahniuk,",['general']
"“i love you as certain dark things are to be loved, in secret, between the shadow and the soul.”","Pablo Neruda,",['general']
"“do you remember me telling you we are practicing non-verbal spells, potter?""""yes,"" said harry stiffly.""yes, sir.""""there's no need to call me ""sir"" professor.""the words had escaped him before he knew what he was saying.”","J.K. Rowling,",['general']
“only the very weak-minded refuse to be influenced by literature and poetry.”,"Cassandra Clare,",['general']
“it's the possibility of having a dream come true that makes life interesting.”,"Paulo Coelho,",['general']
"“be not afraid of greatness. some are born great, some achieve greatness, and others have greatness thrust upon them.”","William Shakespeare,",['general']
"“what you're supposed to do when you don't like a thing is change it. if you can't change it, change the way you think about it. don't complain.”","Maya Angelou,",['general']
“happiness in intelligent people is the rarest thing i know.”,"Ernest Hemingway,",['general']
“a day without laughter is a day wasted.”,Nicolas Chamfort,['general']
"“heâ€™s not perfect. you arenâ€™t either, and the two of you will never be perfect. but if he can make you laugh at least once, causes you to think twice, and if he admits to being human and making mistakes, hold onto him and give him the most you can. he isnâ€™t going to quote poetry, heâ€™s not thinking about you every moment, but he will give you a part of him that he knows you could break. donâ€™t hurt him, donâ€™t change him, and donâ€™t expect for more than he can give. donâ€™t analyze. smile when he makes you happy, yell when he makes you mad, and miss him when heâ€™s not there. love hard when there is love to be had. because perfect guys donâ€™t exist, but thereâ€™s always one guy that is perfect for you.”",Bob Marley,['general']
"“a person's a person, no matter how small.”","Dr. Seuss,",['general']
“the only true wisdom is in knowing you know nothing.”,Socrates,['general']
“perhaps one did not want to be loved so much as to be understood.”,"George Orwell,",['general']
"“yes: i am a dreamer. for a dreamer is one who can only find his way by moonlight, and his punishment is that he sees the dawn before the rest of the world.”","Oscar Wilde,",['general']
"“when adults say, ""teenagers think they are invincible"" with that sly, stupid smile on their faces, they don't know how right they are. we need never be hopeless, because we can never be irreparably broken. we think that we are invincible because we are. we cannot be born, and we cannot die. like all energy, we can only change shapes and sizes and manifestations. they forget that when they get old. they get scared of losing and failing. but that part of us greater than the sum of our parts cannot begin and cannot end, and so it cannot fail.”","John Green,",['general']
"“i became insane, with long intervals of horrible sanity.”",Edgar Allan Poe,['general']
"“oh, i wouldn't mind, hazel grace. it would be a privilege to have my heart broken by you.”","John Green,",['general']
"“jesus!"" luke exclaimed.""actually, it's just me,"" said simon. ""although i've been told the resemblance is startling.”",Cassandra Clare,['general']
